PRIMER NOMBRE;SEGUNDO NOMBRE;APELLIDO PATERNO;APELLIDO MATERNO;TIPO IDENTIFICACION;CEDULA/PASAPORTE;RUC;TELEFONO;CELULAR;CORREO;DESCRIPCION DE SOCIO;TIPO DE SOCIO;SUCURSAL REGISTRO;FECHA NACIMIENTO;GENERO;DISCAPACIDAD;ESTADO CIVIL;Nro CARGAS FAMILIARES;DOMICILIO CALLE PRINCIPAL;DOMICILIO CALLE SECUNDARIA;DOMICILIO Nro Vivienda;DOMICILIO PROVINCIA;DOMICILIO CANTON;DOMICILIO PARROQUIA;DOMICILIO BARRIO;DOMICILIO REFERENCIA;ACTIVIDAD ECONOMICA;NEGOCIO CALLE PRINCIPAL;NEGOCIO CALLE SECUNDARIA;NEGOCIO Nro Vivienda;NEGOCIO PROVINCIA;NEGOCIO CANTON;NEGOCIO PARROQUIA;NEGOCIO BARRIO;NEGOCIO REFERENCIA
Andrea;Anna;Foster;Gray;C;1004002000;;6-(912)064-4388;2-(917)631-4487;agray0@cmu.edu;Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.;GARANTE;Mira;02/03/2014;F;;CASADO;2;Barnett;Vernon;62513;;Afghanistan;Afghanistan;Afghanistan;Phasellus in felis. Donec semper sapien a libero. Nam dui.;Tendero;Arizona;Manitowish;8054;Afghanistan;Afghanistan;Afghanistan;Afghanistan;Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.
Michael;Ashley;Shaw;Gardner;C;1002003000;;9-(204)391-5739;4-(639)373-5742;agardner1@dailymotion.com;;CLIENTE;Mira;06/04/2014;M;NO;CASADO;0;Bunker Hill;Blaine;8;China;Netherlands;Netherlands;Netherlands;Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.;Tendero;Marcy;;64;Netherlands;Netherlands;Netherlands;Netherlands;Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
Gloria;Gerald;Wright;Willis;C;1002003000;;2-(456)501-9008;8-(328)811-3208;;;CLIENTE;Mira;14/04/2014;M;NO;CASADO;3;Barnett;Kingsford;8;Indonesia;China;China;;Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.;Artesano;Sunnyside;Blackbird;90472;China;China;China;China;Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.
Gregory;Norma;Nguyen;Evans;C;1004002000;;5-(632)753-5433;3-(566)606-9205;nevans3@uol.com.br;"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.";CLIENTE;Pimampiro;23/07/2014;F;SI;SOLTERO;3;Farwell;Briar Crest;4176;United States;Indonesia;Indonesia;Indonesia;Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.;Costurero;Cherokee;Susan;68;Indonesia;Indonesia;Indonesia;Indonesia;Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.
Albert;;Ortiz;Jackson;C;1002003000;;8-(371)639-6845;8-(773)416-6186;;;CLIENTE;Mira;25/07/2014;M;NO;SOLTERO;2;Scoville;Hoffman;2018;Mongolia;China;China;China;Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.;Heladero;Browning;Jenifer;99;China;China;China;China;"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
Theresa;Patricia;Foster;Palmer;C;1002003000;;7-(376)099-0264;6-(128)673-2418;ppalmer5@goo.ne.jp;;CLIENTE;Urcuqui;17/12/2013;F;NO;SOLTERO;1;Eggendart;Melvin;559;Russia;Poland;Poland;Poland;Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.;Heladero;American;Hayes;;Poland;Poland;Poland;Poland;Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
Russell;Barbara;Bowman;Riley;C;1002003000;;1-(769)565-2064;5-(581)370-1524;;;GARANTE;Mira;08/07/2014;M;NO;SOLTERO;;3rd;Dennis;8;Indonesia;Tanzania;Tanzania;Tanzania;Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.;Digitado;Saint Paul;Mesta;66;Tanzania;Tanzania;Tanzania;Tanzania;Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.
John;Sean;Hunt;Martinez;C;1002003000;;5-(401)612-0162;5-(699)681-5529;smartinez7@github.com;;GARANTE;Pimampiro;18/04/2014;M;NO;DIVORCIADO;0;Sachtjen;Dunning;94;Tanzania;China;;China;"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.";Costurero;Reinke;;49;China;China;China;China;Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
Lisa;Mary;Perkins;Torres;C;1004002000;;4-(334)134-5435;9-(683)221-3727;;;CLIENTE;El Angel;22/05/2014;M;NO;SOLTERO;0;Stoughton;Vernon;7683;China;Japan;Japan;Japan;Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.;Digitado;6th;Holmberg;8;Japan;Japan;Japan;Japan;
Annie;Harry;Murphy;Alvarez;C;1002003000;;9-(638)559-1948;6-(583)362-0396;;Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.;GARANTE;Mira;29/06/2014;M;NO;SOLTERO;2;8th;Harper;580;Philippines;Czech Republic;Czech Republic;Czech Republic;Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.;Panadero;;Welch;5;Czech Republic;Czech Republic;Czech Republic;;Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
